lesson_log_id,student_id,score,understanding,focus
1,1.0,78,0.5571751948747026,0.8389266321297462
2,1.0,67,0.6009988858093095,0.6841536397424318
3,1.0,64,0.6362080889509294,0.5624036146317258
4,1.0,65,0.6789807460132228,0.5157124343471896
5,1.0,65,0.7222713924476976,0.6272782441917241
6,1.0,72,0.7763004790467946,0.6585379903474713
7,1.0,79,0.806973459290699,0.49348430041475005
8,1.0,77,0.853769034052502,0.6392474914445564
9,1.0,80,0.8775575207207612,0.3
10,1.0,70,0.9077876688344176,0.4353164495095638
11,1.0,78,0.9259530040869144,0.3
12,1.0,63,0.43050305893180846,0.3
13,1.0,50,0.457380422546356,0.4500880302029025
14,1.0,56,0.4784029855472444,0.4177172892489426
15,1.0,55,0.5087555367461306,0.5709439213821661
16,1.0,66,0.5433930127622129,0.5659493657242664
17,1.0,55,0.5600081651318644,0.3
18,1.0,62,0.5798327964093948,0.385459392658556
19,1.0,61,0.6012603845966096,0.3529884681209349
20,1.0,64,0.6211665156400022,0.3020223620951601
21,1.0,60,0.6364758484422088,0.3
22,1.0,63,0.4027693524524718,0.3615224729445665
23,1.0,54,0.4232333434094651,0.3906687055147537
24,1.0,66,0.43884611524063505,0.3
25,1.0,55,0.4568935705377927,0.3
26,1.0,58,0.47593919720856465,0.3
27,1.0,43,0.49531081979536706,0.3044108371775232
28,1.0,61,0.5146208750073125,0.3
29,1.0,67,0.5286725147267014,0.3
30,1.0,68,0.5453133538992616,0.3
31,1.0,54,0.3358649356105025,0.3
32,1.0,47,0.3511155002681696,0.3
33,1.0,50,0.3664689548583916,0.3
34,1.0,59,0.38214920598330554,0.3
35,1.0,47,0.39769627917416456,0.3
36,1.0,50,0.4128262723963913,0.3
37,1.0,64,0.427798954277219,0.3
38,1.0,57,0.44083608569374605,0.3
39,1.0,65,0.4545196547918945,0.3
40,1.0,69,0.30765485533787884,0.3
41,1.0,56,0.3212800384479937,0.3
42,1.0,55,0.3321560251911394,0.3
43,1.0,61,0.34440426437245675,0.3
44,1.0,53,0.3591860842271436,0.3
45,1.0,51,0.3742673871271638,0.3
46,1.0,56,0.3863886639467181,0.3
47,1.0,50,0.40055044979226595,0.3
48,1.0,34,0.27829178450495995,0.3
49,1.0,41,0.29074021123320637,0.3
50,1.0,48,0.3018923572434098,0.3
51,1.0,49,0.3132533559573409,0.3
52,1.0,50,0.3239960313722713,0.3
53,1.0,59,0.3331503135327572,0.3
54,1.0,55,0.3466153911869341,0.3
55,1.0,44,0.3560982444144075,0.3
56,1.0,53,0.3679004162826418,0.3
57,1.0,51,0.37794967119019224,0.3
58,1.0,53,0.38791153535152595,0.3
59,1.0,45,0.24593546920468137,0.3
60,1.0,30,0.2558012891502001,0.3
61,1.0,34,0.2645129970916464,0.3
62,1.0,47,0.2764215059070076,0.3
63,1.0,44,0.2871088303765211,0.3
64,1.0,49,0.2958242261385065,0.3
65,1.0,59,0.3040179615187311,0.3
66,1.0,45,0.31481803324022495,0.3
67,1.0,53,0.32554071224459463,0.3
68,1.0,49,0.334607850364003,0.3
69,1.0,53,0.34604789697446325,0.3
70,1.0,40,0.18336066748982807,0.3
71,1.0,45,0.18946324174215534,0.3
72,1.0,59,0.19823260440310447,0.3
73,1.0,54,0.20508222491708566,0.3
74,1.0,35,0.21195803890189607,0.3
75,1.0,60,0.21969477140805788,0.3
