id,class_id,topic,scheduled_date
1,1.0,persamaan_linear_satu_variabel,2026-01-01 00:00:00
2,1.0,persamaan_linear_satu_variabel,2026-01-02 08:00:00
3,1.0,persamaan_linear_satu_variabel,2026-01-03 04:00:00
4,1.0,persamaan_linear_satu_variabel,2026-01-03 05:00:00
5,1.0,persamaan_linear_satu_variabel,2026-01-03 10:00:00
6,1.0,persamaan_linear_satu_variabel,2026-01-04 08:00:00
7,1.0,persamaan_linear_satu_variabel,2026-01-05 05:00:00
8,1.0,persamaan_linear_satu_variabel,2026-01-05 10:00:00
9,1.0,persamaan_linear_satu_variabel,2026-01-06 07:00:00
10,1.0,persamaan_linear_satu_variabel,2026-01-06 10:00:00
11,1.0,persamaan_linear_satu_variabel,2026-01-06 16:00:00
12,1.0,himpunan,2026-01-07 08:00:00
13,1.0,himpunan,2026-01-08 04:00:00
14,1.0,himpunan,2026-01-08 11:00:00
15,1.0,himpunan,2026-01-09 10:00:00
16,1.0,himpunan,2026-01-10 08:00:00
17,1.0,himpunan,2026-01-10 14:00:00
18,1.0,himpunan,2026-01-11 12:00:00
19,1.0,himpunan,2026-01-12 08:00:00
20,1.0,himpunan,2026-01-13 06:00:00
21,1.0,himpunan,2026-01-14 02:00:00
22,1.0,teorema_pythagoras,2026-01-15 01:00:00
23,1.0,teorema_pythagoras,2026-01-16 00:00:00
24,1.0,teorema_pythagoras,2026-01-16 02:00:00
25,1.0,teorema_pythagoras,2026-01-16 07:00:00
26,1.0,teorema_pythagoras,2026-01-16 13:00:00
27,1.0,teorema_pythagoras,2026-01-16 19:00:00
28,1.0,teorema_pythagoras,2026-01-17 03:00:00
29,1.0,teorema_pythagoras,2026-01-17 04:00:00
30,1.0,teorema_pythagoras,2026-01-17 08:00:00
31,1.0,peluang_dasar,2026-01-18 05:00:00
32,1.0,peluang_dasar,2026-01-19 02:00:00
33,1.0,peluang_dasar,2026-01-19 04:00:00
34,1.0,peluang_dasar,2026-01-20 01:00:00
35,1.0,peluang_dasar,2026-01-21 08:00:00
36,1.0,peluang_dasar,2026-01-21 16:00:00
37,1.0,peluang_dasar,2026-01-22 15:00:00
38,1.0,peluang_dasar,2026-01-23 13:00:00
39,1.0,peluang_dasar,2026-01-24 12:00:00
40,1.0,bangun_ruang,2026-01-25 11:00:00
41,1.0,bangun_ruang,2026-01-26 09:00:00
42,1.0,bangun_ruang,2026-01-27 08:00:00
43,1.0,bangun_ruang,2026-01-27 12:00:00
44,1.0,bangun_ruang,2026-01-28 11:00:00
45,1.0,bangun_ruang,2026-01-29 09:00:00
46,1.0,bangun_ruang,2026-01-30 08:00:00
47,1.0,bangun_ruang,2026-01-31 06:00:00
48,1.0,eksponen_logaritma,2026-02-01 04:00:00
49,1.0,eksponen_logaritma,2026-02-01 05:00:00
50,1.0,eksponen_logaritma,2026-02-02 02:00:00
51,1.0,eksponen_logaritma,2026-02-03 00:00:00
52,1.0,eksponen_logaritma,2026-02-03 20:00:00
53,1.0,eksponen_logaritma,2026-02-04 08:00:00
